Airport Name,Frequency,Latitude,Longitude
Martha's Vineyard Airport,21,41.3931007385,-70.6143035889
Bismarck Municipal Airport,20,46.7727012634,-100.7460021973
Tampa International Airport,20,27.9755001068,-82.533203125
Fukui Airport,20,36.1427993774,136.223999023
Smith Field,20,41.14339828,-85.15280151
Spokane International Airport,20,47.6198997498,-117.533996582
Dabo Airport,20,-0.4791890085,104.5790023804
Melilla Airport,20,35.279800415,-2.9562599659
Lipetsk Airport,20,52.7028007507,39.5377998352
Teniente Vidal Airport,20,-45.5942001343,-72.1061019897
Ramon Air Base,20,30.7761001587,34.6666984558
RAF Honington,20,52.3426017761,0.7729390264
Puerto Cabezas Airport,20,14.0472002029,-83.3867034912
Black Hills Airport-Clyde Ice Field,20,44.4803009033,-103.7829971314
Dunk Island Airport,20,-17.9416999817,146.13999939
Ben Ya'akov Airport,20,32.9809989929,35.5718994141
Diagoras Airport,20,36.4053993225,28.0862007141
Saint-Laurent-du-Maroni Airport,20,5.48306,-54.034401
Wollongong Airport,20,-34.5611000061,150.7890014648
Rota International Airport,20,14.1743001938,145.2429962158
St. Mary's Airport,20,49.9132995605,-6.2916698456
Bou Chekif Airport,20,35.3410987854,1.4631500244
Basankusu Airport,20,1.2247200012,19.7889003754
St Petersburg Clearwater International Airport,20,27.91020012,-82.68740082
Seosan Air Base,20,36.703999,126.486
Soesterberg Air Base,20,52.1273002625,5.2761898041
Roper Bar Airport,20,-14.734814,134.525485
Echuca Airport,20,-36.1571998596,144.7619934082
Republic Airport,20,40.7288017273,-73.4133987427
Dominique Edward Osok Airport,20,-0.894,131.287
Felker Army Air Field,20,37.1324996948,-76.6088027954
Red Lake Airport,19,51.0668983459,-93.7930984497
Kokshetau Airport,19,53.329102,69.594597
Oconee County Regional Airport,19,34.6719017,-82.8864975
Whiteman Airport,19,34.2593002319,-118.413002014
Nelson Lagoon Airport,19,56.0074996948,-161.1600036621
Centennial Airport,19,39.57009888,-104.848999
Ürümqi Diwopu International Airport,19,43.9071006775,87.4741973877
Beijing Daxing International Airport,19,39.509945,116.41092
Presidente Peron Airport,19,-38.949001,-68.155701
Angoulême-Brie-Champniers Airport,19,45.7291984558,0.2214560062
Mercer County Airport,19,37.2957992554,-81.2077026367
Siwo Airport,19,-17.0902996063,168.343002319
Portsmouth International at Pease Airport,19,43.0778999329,-70.8233032227
Taichung Ching Chuang Kang Airport,19,24.2646999359,120.6210021973
Dawei Airport,19,14.1038999557,98.2035980225
Rennell/Tingoa Airport,19,-11.5339002609,160.06300354
Kerema Airport,19,-7.9636101723,145.770996094
Mukah Airport,19,2.90639,112.080002
Nukutavake Airport,19,-19.2849998474,-138.7720031738
Sheppard Air Force Base-Wichita Falls Municipal Airport,19,33.9888,-98.491898
Fremont Municipal Airport,19,41.44910049,-96.52020264
Beaver Creek Airport,19,62.4103012085,-140.8670043945
General Enrique Mosconi Airport,19,-22.619600296,-63.7937011719
Ilulissat Airport,19,69.2432022095,-51.0570983887
Fuyun Koktokay Airport,19,46.804169,89.512006
Fair Isle Airport,19,59.5358009338,-1.6280599833
Sampit(Hasan) Airport,19,-2.4991900921,112.974998474
Patuxent River Naval Air Station (Trapnell Field),19,38.285999,-76.411797
Baltrum Airport,19,53.7247238159,7.3733329773
Chu Lai International Airport,19,15.4033002853,108.706001282
Dong Tac Airport,19,13.0495996475,109.333999634
Chub Cay Airport,19,25.4171009064,-77.880897522
Lima Allen County Airport,19,40.706902,-84.026703
Kempsey Airport,19,-31.0743999481,152.7700042725
Maya-Maya Airport,19,-4.2516999245,15.2530002594
Ingeniero Ambrosio Taravella Airport,19,-31.323601,-64.208
Muzaffarpur Airport,19,26.1191005707,85.3136978149
Daniel Field,19,33.4664993286,-82.0393981934
Babo Airport,19,-2.5322399139,133.4389953613
Qiemo Yudu Airport,19,38.233611,85.465556
Chesterfield Inlet Airport,19,63.3469009399,-90.7311019897
Canefield Airport,19,15.3367004395,-61.39220047
Kipnuk Airport,19,59.9329986572,-164.031005859
Skopje Alexander the Great Airport,19,41.961601,21.621401
Piedras Negras International Airport,19,28.627399,-100.535004
Kaadedhdhoo Airport,18,0.4881309867,72.9969024658
Coen Airport,18,-13.761133,143.113311
Tarko-Sale Airport,18,64.9308013916,77.8180999756
Cloncurry Airport,18,-20.6686000824,140.503997803
Henderson Field,18,28.2017002106,-177.3809967041
Henderson Field,18,34.7178993225,-78.0036010742
Bishop International Airport,18,42.9654006958,-83.743598938
Ain el Beida Airport,18,31.9172000885,5.412779808
La Fria Airport,18,8.2391672134,-72.2710266113
Victoria Airport,18,48.6538920506,-123.450450897
Victoria Airport,18,-38.2456016541,-72.3486022949
Falls International Airport,18,48.5662002563,-93.4030990601
San Carlos Airport,18,9.6477203369,-68.5746994019
San Carlos Airport,18,37.5119018555,-122.25
Coimbatore International Airport,18,11.029999733,77.0434036255
Sidney - Richland Regional Airport,18,47.706902,-104.193001
Kefallinia Airport,18,38.120098114,20.5004997253
Nadunumu Airport,18,-9.1435555556,147.68425
Aguenar – Hadj Bey Akhamok Airport,18,22.8115005493,5.4510798454
Forestville Airport,18,48.7461013794,-69.0971984863
Deering Airport,18,66.0696029663,-162.76600647
Vinh Airport,18,18.7376003265,105.67099762
Barra Airport,18,57.0228,-7.44306
Reconquista Airport,18,-29.2103,-59.68
Los Alamos Airport,18,35.8797988892,-106.268997192
Noshahr Airport,18,36.6632995605,51.4646987915
University Oxford Airport,18,34.3843002319,-89.5367965698
Rae Lakes Airport,18,64.1160964966,-117.3099975586
Sparti Airport,18,36.9738998413,22.5263004303
Bakel Airport,18,14.8472995758,-12.4682998657
Burketown Airport,18,-17.7486000061,139.533996582
Shijiazhuang Daguocun International Airport,18,38.2807006836,114.6969985962
Vienna International Airport,18,48.1102981567,16.5697002411
Arviat Airport,18,61.0942001343,-94.0708007812
Al Ain International Airport,18,24.2616996765,55.6091995239
Persian Gulf International Airport,18,27.379601,52.737701
Del Bajío International Airport,18,20.9935,-101.481003
Sugar Land Regional Airport,18,29.6222991943,-95.65650177
Bromont (Roland Desourdy) Airport,18,45.2907981873,-72.7414016724
Confresa Airport,18,-10.6344003677,-51.5635986328
Taiping Airport,18,45.6234016418,126.25
Lucapa Airport,18,-8.4457273483,20.7320861816
Matsu Nangan Airport,18,26.1598,119.958
Valença Airport,18,-13.2965,-38.992401
Greenville Downtown Airport,18,34.8479003906,-82.3499984741
Hat Yai International Airport,18,6.9332098961,100.392997742
Termez Airport,18,37.2867012024,67.3099975586
Rustaq Airport,18,23.640556,57.4875
Ruby Airport,18,64.72720337,-155.4700012
Santos Dumont Airport,18,-22.9104995728,-43.1631011963
Klagenfurt Airport,18,46.642502,14.3377
Grand Strand Airport,18,33.8116989136,-78.7238998413
Linden Airport,18,5.965920000000001,-58.270302
Linden Airport,18,40.617401123,-74.2445983887
Igiugig Airport,18,59.3240013123,-155.9019927979
London Luton Airport,18,51.8746986389,-0.3683330119
Lalibella Airport,18,11.9750003815,38.9799995422
RAF Wyton,18,52.3572006226,-0.107832998
Licenciado Gustavo Díaz Ordaz International Airport,18,20.6800994873,-105.2539978027
Prince Rupert Airport,18,54.2860984802,-130.445007324
San Javier Airport,18,37.7750015259,-0.8123890162
Wana Airport,18,32.3046989441,69.5703964233
Tortolì Airport,18,39.9188,9.68298
Southdowns Airport,18,-12.9005002975,28.1499004364
Juan Mendoza Airport,18,-17.962600708,-67.0762023926
Grand Junction Regional Airport,18,39.1223983765,-108.527000427
Raleigh Durham International Airport,18,35.8776016235,-78.7874984741
Vologda Airport,18,59.2825012207,39.9444007874
Bhadrapur Airport,18,26.5708007812,88.0795974731
Bay City Municipal Airport,18,28.9733009338,-95.8635025024
Bitam Airport,18,2.0756399632,11.4932003021
Zephyrhills Municipal Airport,18,28.2282009125,-82.1558990479
Akron Canton Regional Airport,18,40.9160995483,-81.442199707
Kramatorsk Airport,18,48.7056007385,37.6288986206
Mariupol International Airport,18,47.0760993958,37.4496002197
Barter Island LRRS Airport,18,70.1340026855,-143.582000732
Salerno Costa d'Amalfi Airport,18,40.620399,14.9113
Berdyansk Airport,18,46.8149986267,36.7580986023
La Grande Rivière Airport,18,53.6253013611,-77.7042007446
Hamburg Airport,18,53.6304016113,9.9882297516
Quinhagak Airport,18,59.7551,-161.845
Don Miguel Hidalgo Y Costilla International Airport,18,20.5217990875,-103.3109970093
Vilhelmina Airport,18,64.5791015625,16.8335990906
Southport Airport,18,49.903099,-98.273817
Diego Jimenez Torres Airport,18,18.3089008331,-65.6619033813
London Biggin Hill Airport,18,51.3307991028,0.0324999988
Choibalsan Airport,18,48.1357002258,114.6460037231
Chacarita Airport,17,9.9814100265,-84.7726974487
Tiko Airport,17,4.0891900063,9.3605298996
Chan Gurney Municipal Airport,17,42.9166984558,-97.3859024048
Linköping City Airport,17,58.4062004089,15.6805000305
Sindal Airport,17,57.503502,10.2294
Monroe County Airport,17,39.1459999084,-86.6166992188
Zaqatala International Airport,17,41.562222,46.667221
Nogliki Airport,17,51.780102,143.139008
Gao Airport,17,16.2483997345,-0.0054560001
Julius Nyerere International Airport,17,-6.87811,39.202599
Aniwa Airport,17,-19.2346,169.6009
Louisville International Standiford Field,17,38.1744,-85.736
Lavan Island Airport,17,26.810300827,53.356300354
Wollaston Lake Airport,17,58.1068992615,-103.1719970703
Luang Phabang International Airport,17,19.8973007202,102.1610031128
Turin Airport,17,45.200802,7.64963
Gaziantep International Airport,17,36.9472007751,37.4786987305
Yellowknife Airport,17,62.4627990723,-114.4400024414
Maningrida Airport,17,-12.0560998917,134.23399353
Hassi R'Mel Airport,17,32.9304008484,3.3115398884
Mataveri Airport,17,-27.1648006439,-109.42199707
Petrozavodsk Airport,17,61.8852005005,34.1547012329
Turpan Jiaohe Airport,17,43.0308,89.0987
Gary Chicago International Airport,17,41.6162986755,-87.4128036499
Kagi Airport,17,-9.1359166667,147.669444444
Lorient South Brittany (Bretagne Sud) Airport,17,47.7606010437,-3.4400000572
Porto Nacional Airport,17,-10.7194004059,-48.3997001648
Ignatyevo Airport,17,50.4253997803,127.4120025635
Bristol Airport,17,51.382702,-2.71909
Muanda Airport,17,-5.9308600426,12.3517999649
RNZAF Base Ohakea,17,-40.2060012817,175.3880004883
Al Wajh Domestic Airport,17,26.198600769,36.476398468
Zanesville Municipal Airport,17,39.9444007874,-81.8920974731
Olyokminsk Airport,17,60.397499,120.471001
Ponta Porã Airport,17,-22.5496006012,-55.7025985718
Zadar Airport,17,44.108299,15.3467
Pierre Van Ryneveld Airport,17,-28.39909935,21.2602005005
Cherry Capital Airport,17,44.7414016724,-85.5821990967
Nueva Hesperides International Airport,17,-31.4384994507,-57.9852981567
Malolo Lailai Island Airport,17,-17.7779006958,177.197006226
John C. Munro Hamilton International Airport,17,43.1735992432,-79.9349975586
Francisco Sarabia International Airport,17,25.5683002472,-103.411003113
Rocky Mountain House Airport,17,52.4296989441,-114.903999329
General Pedro Jose Mendez International Airport,17,23.7033004761,-98.9564971924
White Mountain Airport,17,64.689201355,-163.412994385
Williams Lake Airport,17,52.1831016541,-122.054000854
Muzaffarabad Airport,17,34.3390007019,73.5085983276
Zaranj Airport,17,30.972222,61.865833
Lisala Airport,17,2.17066,21.496901
Mopti Airport,17,14.5128002167,-4.079559803
Vijayanagar Aerodrome (JSW),17,15.1749666667,76.6349472222
Garden Point Airport,17,-11.4025001526,130.4219970703
Jinnah International Airport,17,24.9065,67.160797
Ust-Tsylma Airport,17,65.4372940063,52.2003364563
Grand Canyon National Park Airport,17,35.9524002075,-112.1470031738
Rota Naval Station Airport,17,36.645198822,-6.349460125
Midland International Airport,17,31.9424991608,-102.202003479
Bhavnagar Airport,17,21.752199173,72.1852035522
Wellington International Airport,17,-41.3272018433,174.804992676
Lennart Meri Tallinn Airport,17,59.4132995605,24.8327999115
Puerto Jimenez Airport,17,8.5333299637,-83.3000030518
Vilo Acuña International Airport,17,21.6165008545,-81.5459976196
Gayndah Airport,17,-25.6144008636,151.6190032959
Mardin Airport,17,37.2233009338,40.6316986084
Ann Arbor Municipal Airport,17,42.2229995728,-83.7455978394
George Bush Intercontinental Houston Airport,17,29.9843997955,-95.3414001465
Gualeguaychu Airport,17,-33.0103,-58.6131
Ouro Sogui Airport,17,15.5936002731,-13.3227996826
Hamad International Airport,17,25.273056,51.608056
Seymour Airport,17,-0.4537580013,-90.2658996582
Kahramanmaraş Airport,17,37.5388259888,36.9535217285
Enfidha - Hammamet International Airport,17,36.075833,10.438611
Sevilla Airport,17,37.4179992676,-5.8931097984
Islas Malvinas Airport,17,-32.9036,-60.785
El Calafate Airport,17,-50.2803,-72.053101
Canaima Airport,17,6.2319889069,-62.8544311523
Adirondack Regional Airport,17,44.3852996826,-74.206199646
Kamarang Airport,17,5.8653402328,-60.614200592
Massawa International Airport,17,15.6700000763,39.370098114
Geilenkirchen Air Base,17,50.9608,6.04242
Pécs-Pogány Airport,17,45.990898,18.240996
Miramichi Airport,17,47.007801,-65.449203
Fort Frances Municipal Airport,17,48.6542015076,-93.4396972656
Maputo Airport,17,-25.920799,32.572601
Nonouti Airport,17,-0.6397219896,174.4279937744
Bordeaux-Mérignac Airport,17,44.8283004761,-0.7155560255000001
Dakhla Airport,17,23.7183,-15.932
Mornington Island Airport,17,-16.6625003815,139.1779937744
Horta Airport,17,38.5199012756,-28.7159004211
RAAF Base Richmond,17,-33.600601,150.781006
Okmulgee Regional Airport,17,35.6680984497,-95.9486999512
Rivière-du-Loup Airport,17,47.7644004822,-69.5847015381
Xingyi Airport,17,25.0863888889,104.959444444
Rajahmundry Airport,17,17.1103992462,81.8181991577
Bitburg Airport,17,49.945278,6.565
Range Regional Airport,17,47.38660049,-92.83899689
Dhanbad Airport,17,23.8339996338,86.4253005981
Nantes Atlantique Airport,17,47.1531982422,-1.610730052
Mason County Airport,17,43.96250153,-86.40789795
Mendi Airport,17,-6.14774,143.656998
Riyadh Air Base,17,24.7098007202,46.7252006531
Ballalae Airport,17,-6.990745,155.886656
Sir Abubakar Tafawa Balewa International Airport,17,10.482833,9.744
Altai Airport,17,46.3763999939,96.2210998535
Mendeleyevo Airport,17,43.9584007263,145.682998657
Sovetskiy Airport,17,61.3266220093,63.6019134521
Chifeng Airport,17,42.2350006104,118.9079971313
Francisco de Assis Airport,17,-21.7915000916,-43.3867988586
Pobedilovo Airport,17,58.5032997131,49.3483009338
Buka Airport,17,-5.4223198891,154.6730041504
Tenente Lund Pressoto Airport,17,-20.592199,-47.3829
Jönköping Airport,17,57.757598877,14.0686998367
Bareilly Air Force Station,17,28.4221000671,79.4507980347
Besalampy Airport,17,-16.7445302965,44.4824838638
Bergerac-Roumanière Airport,17,44.8252983093,0.5186110139
Great Bend Municipal Airport,17,38.3442993164,-98.8591995239
L M Clayton Airport,17,48.0945014954,-105.574996948
Es Senia Airport,17,35.6239013672,-0.6211829782
Ust-Kut Airport,17,56.8567008972,105.7300033569
Akulivik Airport,17,60.8185997009,-78.1485977173
Fort Mcpherson Airport,17,67.4075012207,-134.8609924316
Petropavlosk South Airport,17,54.7747001648,69.1838989258
North Battleford Airport,17,52.7691993713,-108.2440032959
Antonio B. Won Pat International Airport,17,13.4834003448,144.796005249
Ken Jones Airport,17,18.1987991333,-76.5345001221
Agrinion Air Base,17,38.602001,21.3512001
Southampton Airport,17,50.9502983093,-1.3567999601
Ghazni Airport,16,33.5312004089,68.412902832
Gulu Airport,16,2.805560112,32.2718009949
Flores Airport,16,39.4552993774,-31.1313991547
Flores Airport,16,-3.0727779865,-60.0211105347
Okadama Airport,16,43.117447,141.38134
Chilliwack Airport,16,49.1528015137,-121.939002991
Fredericton Airport,16,45.8689002991,-66.5372009277
Tavie Airport,16,-16.438999176,168.257003784
General Wayne A. Downing Peoria International Airport,16,40.6641998291,-89.6932983398
Kolwezi Airport,16,-10.7658996582,25.5056991577
Wau Airport,16,7.725830078099999,27.9750003815
Imphal Airport,16,24.7600002289,93.896697998
Los Chiles Airport,16,11.0353002548,-84.7061004639
Leaf Rapids Airport,16,56.5133018494,-99.9852981567
Ivanovo South Airport,16,56.9393997192,40.9407997131
Omidiyeh Airport,16,30.8351993561,49.5349006653
Yichun Mingyueshan Airport,16,27.8025,114.3062
Buri Ram Airport,16,15.2294998169,103.2529983521
Romeu Zema Airport,16,-19.5631999969,-46.9603996277
Olavarria Airport,16,-36.8899993896,-60.2165985107
Worland Municipal Airport,16,43.9656982422,-107.9509963989
Heraklion International Nikos Kazantzakis Airport,16,35.3396987915,25.1802997589
Guasdalito Airport,16,7.2333331108,-70.8000030518
Perry Municipal Airport,16,36.3856010437,-97.2771987915
Blackbushe Airport,16,51.3238983154,-0.8475000262
Funafuti International Airport,16,-8.525,179.195999
Libertador Gral D Jose De San Martin Airport,16,-27.3858,-55.9707
Rawlins Municipal Airport/Harvey Field,16,41.80559921,-107.1999969
Marsa Brega Airport,16,30.3780994415,19.5764007568
Taganrog Yuzhny Airport,16,47.1983333,38.8491667
Presidente General Don Oscar D. Gestido International Airport,16,-30.9745998383,-55.4762001038
Keesler Air Force Base,16,30.4104003906,-88.9244003296
Miri Airport,16,4.3220100403,113.9869995117
Juan De Ayolas Airport,16,-27.370554,-56.854064
Cottbus-Drewitz Airport,16,51.889442,14.531944
Ladysmith Airport,16,-28.5816993713,29.7497005463
Pori Airport,16,61.4617004395,21.7999992371
El Obeid Airport,16,13.1532001495,30.2327003479
Olympic Dam Airport,16,-30.4850006104,136.876998901
Zhangye Ganzhou Airport,16,38.8018989563,100.675003052
Caucaya Airport,16,-0.182278,-74.7708
Toowoomba Wellcamp Airport,16,-27.558332,151.793335
Kokonau Airport,16,-4.71075,136.43515
Abha Regional Airport,16,18.2404003143,42.6566009521
Grand Rapids Itasca Co-Gordon Newstrom field,16,47.21110153,-93.50980377
Riverton Regional Airport,16,43.064201355,-108.459999084
Puerto Deseado Airport,16,-47.7353,-65.9041
Squamish Airport,16,49.7817001343,-123.162002563
Fort Worth Alliance Airport,16,32.9875984192,-97.3188018799
Rum Cay Airport,16,23.6844005585,-74.8361968994
Columbia Metropolitan Airport,16,33.9388008118,-81.1194992065
Orlando Bezerra de Menezes Airport,16,-7.2189598084,-39.2700996399
Khoram Abad Airport,16,33.4353981018,48.2829017639
Mc Connell Air Force Base,16,37.62189865,-97.26820374
Mudgee Airport,16,-32.5625,149.610992432
Syukuran Aminuddin Amir Airport,16,-1.03892,122.772003
Loikaw Airport,16,19.6914997101,97.2147979736
Pulau Tioman Airport,16,2.8181800842,104.1600036621
Vorkuta Airport,16,67.4886016846,63.9930992126
Godofredo P. Ramos Airport,16,11.9245,121.954002
Camp Bastion Airport,16,31.8638000488,64.2246017456
Gwalior Airport,16,26.2933006287,78.2277984619
Edinburgh Airport,16,55.9500007629,-3.3724999428
Castellón-Costa Azahar Airport,16,40.213889,0.073333
Saurimo Airport,16,-9.6890697479,20.4319000244
Travis Air Force Base,16,38.2626991272,-121.9270019531
Da Nang International Airport,16,16.0438995361,108.1989974976
Brigadier D.H.E. Ruiz Airport,16,-37.446098,-61.889301
Buffalo Range Airport,16,-21.008101,31.5786
Mattala Rajapaksa International Airport,16,6.284467,81.124128
San Luis Valley Regional Bergman Field,16,37.434898,-105.866997
Scone Airport,16,-32.0372009277,150.8320007324
Maimana Airport,16,35.9308013916,64.7609024048
Tiree Airport,16,56.4991989136,-6.8691701889
Ann Airport,16,19.769199,94.0261
Simmons Army Air Field,16,35.13180161,-78.93669891
Songwe Airport,16,-8.919942,33.273981
Estevan Airport,16,49.2103004456,-102.966003418
Tumling Tar Airport,16,27.315001,87.193298
California Redwood Coast-Humboldt County Airport,16,40.978101,-124.109
Jeon Ju Airport (G-703),16,35.87808,127.119112
Sado Airport,16,38.0601997375,138.414001465
Ratnagiri Airport,16,17.013599,73.327797
Lampang Airport,16,18.2709007263,99.5042037964
Wairoa Airport,16,-39.0069007874,177.4069976807
Bildudalur Airport,16,65.6412963867,-23.5461997986
Villa Gesell Airport,16,-37.2354,-57.0292
Arathusa Safari Lodge Airport,16,-24.744165,31.522499
Zhijiang Airport,16,27.4411111111,109.7
Songkhla Airport,16,7.186560154,100.608001709
Lovell Field,16,35.0353012085,-85.2037963867
Coastal Carolina Regional Airport,16,35.0730018616,-77.0429000854
Xinzhou Wutaishan Airport,16,38.597456,112.969173
Kaili Airport,16,26.972,107.988
Torrejón Airport,16,40.4967002869,-3.4458699226
Charlo Airport,16,47.990799,-66.330299
Bost Airport,16,31.5597000122,64.3649978638
Naxos Airport,16,37.0811004639,25.3680992126
Stewart International Airport,16,41.5041007996,-74.1047973633
Hermannsburg Airport,16,-23.9300003052,132.8049926758
Lanai Airport,16,20.7856006622,-156.9510040283
Port Harcourt International Airport,16,5.0154900551,6.9495902061
Norfolk International Airport,16,36.8945999146,-76.2012023926
Nabire Airport,16,-3.36818,135.496002
Frankfurt-Hahn Airport,16,49.9487,7.26389
Cape Dorset Airport,16,64.2300033569,-76.5267028809
Bugulma Airport,16,54.6399993896,52.801700592
Licenciado Manuel Crescencio Rejon Int Airport,16,20.9370002747,-89.657699585
Baco Airport,16,5.78287,36.562
Cáceres Airport,16,-16.0436000824,-57.629901886
Tengchong Tuofeng Airport,16,24.9380555556,98.4858333333
Keewaywin Airport,16,52.9911003113,-92.8364028931
Xiangyang Liuji Airport,16,32.1506,112.291
Liverpool John Lennon Airport,16,53.3335990906,-2.8497200012
Cà Mau Airport,16,9.177667,105.177778
"Harstad/Narvik Airport, Evenes",16,68.4913024902,16.6781005859
Columbia Gorge Regional the Dalles Municipal Airport,16,45.6184997559,-121.166999817
Blumenau Airport,16,-26.8306007385,-49.0903015137
Palm Beach County Glades Airport,16,26.78499985,-80.69339752
Columbus Air Force Base,16,33.6437988281,-88.4438018799
Santa Ana Del Yacuma Airport,16,-13.7622003555,-65.4352035522
Pangborn Memorial Airport,16,47.3988990784,-120.207000732
Benito Salas Airport,16,2.95015,-75.294
La Pedrera Airport,16,-1.32861,-69.5797
Loakan Airport,16,16.3750991821,120.6200027466
William T. Piper Memorial Airport,16,41.13560104,-77.42230225
Gbadolite Airport,16,4.2532100677,20.9752998352
Araçatuba Airport,16,-21.1413002014,-50.4247016907
Point Salines International Airport,16,12.0041999817,-61.7862014771
Thomasville Regional Airport,16,30.901599884,-83.8813018799
Rajkot Airport,16,22.3092002869,70.7795028687
Nanded Airport,16,19.1833000183,77.3167037964
Rennes-Saint-Jacques Airport,16,48.0694999695,-1.7347899675
Yaoqiang Airport,16,36.8572006226,117.216003418
Ocean Reef Club Airport,16,25.3253993988,-80.2748031616
Valenciennes-Denain Airport,16,50.3258018494,3.4612600803
Fort Simpson Airport,16,61.7602005005,-121.2369995117
Tri Cities Airport,16,46.2647018433,-119.1190032959
Tri Cities Airport,16,42.078499,-76.096296
Theodore Francis Green State Airport,16,41.732601,-71.420403
Norman Manley International Airport,16,17.9356994629,-76.7874984741
